High,Low,Actual,Instrument,Volume,UsdVolume,OpenInterest,Change,BestBid,BestBidSize,BestAsk,BestAskSize,Timestamp,TradeTimestamp
1917.05,1873.7,1899.74,ETH_USDT,4358.3207,8281969.08,0,0.0099,1899.74,4.45,1900.19,0.107,2023-05-30 16:27:16.9835865,1685464036677
1917.05,1873.7,1899.6,ETH_USDT,4358.4482,8282211.39,0,0.0098,1899.65,0.05,1899.96,0.1907,2023-05-30 16:27:38.0395138,1685464057913
1917.05,1873.7,1899.73,ETH_USDT,4358.4483,8282211.58,0,0.0099,1899.73,0.0077,1899.99,0.0001,2023-05-30 16:27:55.996159,1685464075870
1917.05,1873.7,1899.91,ETH_USDT,4348.9292,8264295.25,0,0.0098,1899.64,0.0077,1899.9,0.1185,2023-05-30 16:28:07.42574,1685464087299
1917.05,1873.7,1899.71,ETH_USDT,4349.0298,8264486.44,0,0.0097,1899.72,0.0077,1899.91,0.0451,2023-05-30 16:28:07.8376065,1685464087710
1917.05,1873.7,1899.7,ETH_USDT,4349.1298,8264676.49,0,0.0097,1899.7,0.1074,1899.86,0.0078,2023-05-30 16:28:17.8685756,1685464097742
1917.05,1873.7,1899.34,ETH_USDT,4349.5972,8265564.65,0,0.0095,1899.09,0.158,1899.38,0.25,2023-05-30 16:28:18.6461699,1685464098517
1917.05,1873.7,1899.35,ETH_USDT,4349.8073,8265963.85,0,0.0095,1899.1,0.0917,1899.55,0.4419,2023-05-30 16:28:23.4678522,1685464103342
1917.05,1873.7,1899.59,ETH_USDT,4349.9783,8266288.81,0,0.0096,1899.41,2.1059,1899.73,4.5,2023-05-30 16:28:37.2371171,1685464117109
1917.05,1873.7,1899.52,ETH_USDT,4350.9782,8268188.9,0,0.0096,1899.49,2.1058,1899.74,0.05,2023-05-30 16:28:37.7468545,1685464117567
1917.05,1873.7,1900.13,ETH_USDT,4349.8339,8266043.34,0,0.01,1899.9,0.25,1900.11,0.198,2023-05-30 16:29:01.2578165,1685464141132
1917.05,1873.7,1900.23,ETH_USDT,4349.8839,8266138.39,0,0.01,1900.22,2.1128,1900.23,0.1079,2023-05-30 16:29:11.024992,1685464150899
1917.05,1873.7,1900.78,ETH_USDT,4350.2018,8266742.83,0,0.0103,1900.7,0.2578,1900.97,0.1962,2023-05-30 16:29:19.1637844,1685464159036
1917.05,1873.7,1900.76,ETH_USDT,4350.2019,8266743.02,0,0.0103,1900.76,0.0077,1900.99,0.1579,2023-05-30 16:29:20.3734158,1685464160247
